N,merge_worst,merge_avg,merge_best,heap_worst,heap_avg,heap_best
1000,0.001736325,0.001899395,0.001762889,0.000625633,0.000686360,0.000700197
1000,0.001744709,0.001871472,0.001747203,0.000625350,0.000685585,0.000700105
1000,0.001778672,0.001865284,0.001762011,0.000624707,0.000686682,0.000700230
1000,0.001760400,0.001866330,0.001770851,0.000624825,0.000686869,0.000700513
1000,0.001761044,0.001887379,0.001742900,0.000625327,0.000687708,0.000702916
1000,0.001761220,0.001867260,0.001755853,0.000627869,0.000687318,0.000700166
1000,0.001759554,0.001864712,0.001767170,0.000624951,0.000685761,0.000700494
1000,0.001759823,0.001869905,0.001744755,0.000625225,0.000686412,0.000700073
1000,0.001762946,0.001863692,0.001748484,0.000625316,0.000698911,0.000700186
1000,0.001753075,0.001869893,0.001764260,0.000624735,0.000700969,0.000702884
1000,0.001746507,0.001864279,0.001760806,0.000624924,0.000686739,0.000700273
1000,0.001779304,0.001869336,0.001765339,0.000624813,0.000685582,0.000699939
1000,0.001763293,0.001866150,0.001743629,0.000627533,0.000684632,0.000700194
1000,0.001758627,0.001884170,0.001746161,0.000624871,0.000686477,0.000700610
1000,0.001760923,0.001869884,0.001763768,0.000624855,0.000684288,0.000700201
1000,0.001761805,0.001852628,0.001769399,0.000624950,0.000686508,0.000708967
1000,0.001758281,0.001841592,0.001741845,0.000624746,0.000684188,0.000700451
1000,0.001761871,0.001846040,0.001748044,0.000625080,0.000689217,0.000700144
1000,0.001761909,0.001866765,0.001740770,0.000627581,0.000682645,0.000700227
1000,0.001761733,0.001866826,0.001741505,0.000624834,0.000687693,0.000720602
1000,0.001780055,0.001868901,0.001745042,0.000624993,0.000685230,0.000699923
1000,0.001760708,0.001886560,0.001740848,0.000624963,0.000705858,0.000702469
1000,0.001760805,0.001877072,0.001747928,0.000624937,0.000686113,0.000700774
1000,0.001759525,0.001866360,0.001742487,0.000644884,0.000686408,0.000700677
1000,0.001763552,0.001866872,0.001766803,0.000624892,0.000687362,0.000699942
5000,0.009704051,0.010443949,0.009593730,0.004005999,0.004318671,0.004406511
5000,0.009653294,0.010303444,0.009539207,0.004005172,0.004356320,0.004548308
5000,0.009642001,0.010417558,0.009514792,0.004005254,0.004373165,0.004431351
5000,0.009734691,0.010459483,0.009519575,0.004024561,0.004360436,0.004432506
5000,0.009749494,0.010448614,0.009627932,0.004004171,0.004389611,0.004412199
5000,0.009740062,0.010549534,0.009640225,0.004005265,0.004322535,0.004522640
5000,0.009602526,0.010348246,0.009653010,0.004086806,0.004339909,0.004433528
5000,0.009629116,0.010322512,0.009652928,0.004066349,0.004322687,0.004452764
5000,0.009620713,0.010292313,0.009652112,0.004012572,0.004319113,0.004454584
5000,0.009655350,0.010366245,0.009678300,0.004005214,0.004322894,0.004433062
5000,0.009800337,0.010353996,0.009494129,0.004042224,0.004343156,0.004432465
5000,0.009687422,0.010443782,0.009698264,0.004061413,0.004324620,0.004411196
5000,0.009806762,0.010448251,0.009629375,0.004005563,0.004366352,0.004430715
5000,0.009768525,0.010422612,0.009584775,0.004005725,0.004394392,0.004410534
5000,0.009747420,0.010431665,0.009692356,0.004005217,0.004340506,0.004429352
5000,0.009767120,0.010455906,0.009596236,0.004063359,0.004338570,0.004449102
5000,0.009770767,0.010328752,0.009606470,0.004005654,0.004342340,0.004434240
5000,0.009871944,0.010418816,0.009651203,0.004005655,0.004339545,0.004448584
5000,0.009640314,0.010452540,0.009657528,0.004012488,0.004324293,0.004514317
5000,0.009673991,0.010432612,0.009661303,0.004051640,0.004323019,0.004551264
5000,0.009649703,0.010409079,0.009709680,0.004005436,0.004318026,0.004430420
5000,0.009858545,0.010351135,0.009600888,0.004004702,0.004339978,0.004449196
5000,0.009770747,0.010403789,0.009531210,0.004004582,0.004318246,0.004440387
5000,0.009768679,0.010531381,0.009530825,0.004023900,0.004320676,0.004409047
5000,0.009677315,0.010511212,0.009567385,0.004005403,0.004343659,0.004438435
10000,0.019765166,0.021498550,0.019479535,0.009229681,0.009402063,0.009573108
10000,0.020027450,0.021470673,0.019406465,0.008917252,0.009420203,0.009582670
10000,0.019785052,0.021325463,0.019618807,0.008772933,0.009411591,0.009571075
10000,0.019666879,0.021201499,0.019408850,0.008832298,0.009439550,0.009578384
10000,0.019742409,0.021185179,0.019551232,0.008808074,0.009407888,0.009702679
10000,0.019920460,0.021258831,0.019772898,0.008791548,0.009401547,0.009613830
10000,0.019855597,0.021373134,0.019600903,0.008878799,0.009418218,0.009620687
10000,0.019771798,0.021260721,0.020027986,0.008827980,0.009413983,0.009574770
10000,0.019918924,0.021265990,0.019614988,0.008783439,0.009522653,0.009580070
10000,0.020284589,0.021969062,0.019754590,0.008769652,0.009466226,0.009576558
10000,0.019667074,0.021236435,0.019468925,0.008793057,0.009393846,0.009572825
10000,0.019912021,0.021392274,0.019611082,0.008886906,0.009410818,0.009729755
10000,0.019693765,0.021256465,0.019686085,0.008834561,0.009412215,0.009579859
10000,0.019665223,0.021160372,0.019596458,0.008769200,0.009408510,0.009640556
10000,0.019814215,0.021323952,0.019727439,0.008771511,0.009511741,0.009584068
10000,0.020250321,0.021363027,0.019934585,0.008781512,0.009409486,0.009650677
10000,0.019822651,0.021144319,0.019472213,0.008789471,0.009408731,0.009601443
10000,0.019965134,0.021242075,0.019786319,0.008766397,0.009412805,0.009574356
10000,0.019992384,0.021404720,0.019402579,0.008767864,0.009427480,0.009580755
10000,0.019947835,0.021463818,0.019762263,0.008765606,0.009407155,0.009583838
10000,0.019754527,0.021337826,0.019651585,0.008767212,0.009409491,0.009626186
10000,0.019899064,0.021445108,0.019446329,0.008765690,0.009445727,0.009580511
10000,0.019897279,0.021512035,0.019693991,0.008768613,0.009421639,0.009571741
10000,0.019972479,0.021431661,0.019783429,0.008764492,0.009410784,0.009576051
10000,0.019861498,0.021495499,0.019657468,0.008766189,0.009473658,0.009580095
25000,0.050645776,0.054668991,0.049874767,0.024559868,0.026142790,0.026625679
25000,0.050893954,0.054626636,0.050057403,0.024558903,0.026134304,0.026504079
25000,0.050261771,0.054623357,0.049780491,0.024543665,0.026279682,0.026496174
25000,0.050560905,0.054375026,0.050006608,0.024721307,0.026159424,0.026913050
25000,0.050308028,0.054754012,0.050191133,0.024529510,0.026208262,0.026863349
25000,0.051043840,0.054709242,0.049692490,0.024568237,0.026436425,0.026541889
25000,0.050309364,0.054657075,0.050013328,0.024889476,0.026203262,0.026542713
25000,0.050332716,0.054711688,0.050008764,0.024766977,0.026158594,0.026658074
25000,0.050587087,0.054684893,0.049604263,0.025254317,0.026162046,0.026586480
25000,0.050454680,0.054779802,0.049792580,0.024599011,0.026118872,0.026500626
25000,0.050463338,0.054494943,0.049912455,0.024526464,0.026343867,0.026492099
25000,0.050437955,0.054794632,0.050071126,0.024714465,0.026120103,0.026474293
25000,0.050314407,0.054794694,0.049703456,0.024611179,0.026137410,0.026488163
25000,0.050132133,0.054851711,0.049563186,0.024563986,0.026145592,0.026524993
25000,0.050391402,0.055577487,0.049623233,0.024527754,0.026546994,0.026475571
25000,0.050506939,0.055204738,0.049786533,0.024543524,0.026203591,0.026660959
25000,0.050290521,0.054933831,0.050175945,0.024581095,0.026115910,0.026514891
25000,0.050241779,0.054614141,0.049928254,0.024533828,0.026313861,0.026496461
25000,0.050289826,0.054762042,0.050005504,0.024637697,0.026199868,0.026498567
25000,0.050728131,0.054974182,0.049521894,0.024661311,0.026102590,0.026497164
25000,0.050596693,0.056240690,0.049734138,0.024609105,0.026125783,0.026531096
25000,0.050324070,0.054808719,0.049600248,0.024529708,0.026162952,0.026525050
25000,0.050322791,0.054671756,0.049655371,0.024663817,0.026132628,0.026573415
25000,0.050449406,0.054532159,0.050038567,0.024528807,0.026162679,0.026602929
25000,0.050633848,0.055001941,0.049785919,0.024553331,0.026195866,0.026493918
50000,0.103480416,0.112017051,0.101538077,0.052949664,0.056313035,0.057293326
50000,0.103574748,0.112248111,0.101715434,0.052978655,0.056595421,0.057060953
50000,0.103907979,0.112815864,0.101704445,0.053034667,0.056472692,0.057071382
50000,0.103689761,0.112925727,0.101413250,0.052864659,0.056427485,0.057154534
50000,0.103614751,0.112561824,0.101692517,0.053424820,0.056601236,0.056992119
50000,0.103540709,0.112828782,0.102604635,0.052955504,0.056328161,0.057151100
50000,0.103661287,0.111883722,0.101818200,0.053447608,0.056380307,0.057123646
50000,0.103797076,0.112203407,0.101816332,0.053177326,0.056322021,0.056963827
50000,0.103395556,0.112851620,0.102217147,0.052913949,0.056202325,0.057014494
50000,0.103624080,0.111693866,0.101828743,0.053101441,0.056310268,0.057092442
50000,0.103883399,0.112233195,0.102055535,0.052872993,0.056413697,0.057100236
50000,0.103333952,0.112418041,0.102073822,0.052895923,0.056276310,0.057473838
50000,0.103325712,0.112178557,0.101875577,0.052888828,0.056304903,0.057072875
50000,0.103808475,0.112357415,0.102774196,0.053093923,0.056356332,0.060333496
